,,,,,,,,
"Rok","Tyg","Dust","7Be","137Cs","210Pb","40K","22Na","134Cs"
2010,1,,,,,,,
,2,,,,,,,
,3,,,,,,,
,4,,,,,,,
,5,,,,,,,
,6,,,,,,,
,7,,,,,,,
,8,,,,,,,
,9,,,,,,,
,10,,,,,,,
,11,,,,,,,
,12,,,,,,,
,13,,,,,,,
,14,,,,,,,
,15,,,,,,,
,16,,,,,,,
,17,,,,,,,
,18,,,,,,,
,19,,,,,,,
,20,,,,,,,
,21,,,,,,,
,22,,,,,,,
,23,,,,,,,
,24,,,,,,,
,25,,,,,,,
,26,,,,,,,
,27,,,,,,,
,28,,,,,,,
,29,,,,,,,
,30,,,,,,,
,31,,,,,,,
,32,,,,,,,
,33,5,1308,0.574,70,4.73,8.52,
,34,61,1232,0.489,65.6,4.31,5.61,
,35,30,336,0.507,48.1,5.1,2.6,
,36,43,1198,0.233,78.3,2.94,3.74,
,37,13,940,0.54,45.7,6.82,3.68,
,38,58,754,0.423,59.3,4.8,3.65,
,39,19,688,0.463,30.6,,3.26,
,40,56,736,0.535,53.5,4.41,6.24,
,41,8,618,0.219,37.7,2.03,6.87,
,42,16,944,0.38,54.1,2.97,1.68,
,43,25,704,0.593,33.1,3.83,5.12,
,44,0,742,0.184,31,2.35,3.38,
,45,55,468,0.318,35,1.87,5.11,
,46,12,626,0.264,44.4,4.58,2.93,
,47,28,466,0.22,37.7,3.5,3.42,
,48,42,550,0.366,23.3,2.97,4.24,
,49,53,,0.111,40.2,4.68,1.65,
,50,50,456,0.303,20.9,2.5,1.46,
,51,58,774,0.406,20.7,3.44,1.38,
,52,62,234,0.295,36.5,1.33,1.87,
2011,1,32,808,0.343,15.7,2.19,3.6,
,2,43,674,0.398,38.8,1.52,3.56,
,3,35,516,0.226,25.8,2.6,2.17,
,4,28,390,0.263,40.4,3.76,1.95,
,5,6,428,0.504,39.9,4.55,1.49,
,6,0,566,0.241,27.6,4.25,3.86,
,7,21,552,0.246,35,3.18,3.08,
,8,3,540,0.511,31.1,4.34,3.53,
,9,43,1058,0.168,40.9,5.02,3.52,
,10,42,512,0.407,45.5,1.23,3.94,
,11,30,1154,0.344,35.8,6.67,5.69,
,12,35,1326,0.642,40,5.01,4.15,
,13,63,834,0.312,44,6.54,5.45,
,14,47,1028,0.554,39.8,2.67,2.93,
,15,53,966,0.266,30.9,3.81,5.54,
,16,47,666,0.166,56.3,6.13,6.05,
,17,63,666,0.504,52.9,4.54,3.29,
,18,145,1066,0.375,45.4,2.75,6.75,
,19,18,1542,0.451,81.6,4.41,4.6,
,20,60,1256,0.554,31.3,7.8,8.15,
,21,34,430,0.707,73.6,6.58,4.13,
,22,21,1640,0.269,62.2,5.39,9.24,
,23,8,898,0.697,69.4,6.29,4.13,
,24,49,744,0.493,63.1,6.35,7.12,
,25,31,1840,0.29,92.4,9.36,5.5,
,26,6,1816,0.382,56.1,6.25,7.37,
,27,49,744,0.542,56.1,5.19,7.84,
,28,27,1312,0.248,29.8,8.51,4.88,
,29,32,912,0.745,50.3,5.23,4.39,
,30,24,1692,0.596,37.2,5.26,6.71,
,31,13,992,0.438,41.2,8.46,6.88,
,32,28,716,0.866,22.5,7.02,7.77,
,33,15,696,0.694,66.5,7.86,6.13,
,34,24,724,0.844,73.8,3.83,2.22,
,35,25,1228,0.435,35.2,7.12,3.85,
,36,55,808,0.306,58.7,6.63,6.8,
,37,5,1128,0.342,63.7,4.66,4.3,
,38,130,1430,0.491,74.6,2.09,5.47,
,39,37,1420,0.646,38.7,2.5,4.93,
,40,4,824,0.345,43.1,4.17,3.41,
,41,29,1322,0.45,56.3,4.12,3,
,42,18,898,0.35,49.9,1.5,4.32,
,43,47,694,0.416,15.3,1.65,5.26,
,44,8,1078,0.23,28.6,4.56,4.23,
,45,7,660,0.528,51.8,3.25,4.95,
,46,46,524,0.403,40.1,1.82,1.18,
,47,0,412,0.261,27.1,2.86,2.16,
,48,13,842,0.475,17.8,2.43,4.14,
,49,40,526,0.154,20.5,2.7,2.71,
,50,47,600,0.379,29.7,3.08,2.73,
,51,53,470,0.129,29.9,1.87,3.82,
,52,32,748,0.319,30.5,3.05,3.06,
2012,1,33,554,0.156,26.8,1.79,1.69,
,2,116,348,0.397,24.7,2.09,3.33,
,3,25,570,0.158,19.7,1.81,4.17,
,4,26,886,0.419,41.2,2.91,2.44,
,5,35,306,0.445,27.5,2.26,3.47,
,6,17,920,0.423,29.5,4.82,3.73,
,7,4,472,0.374,32.2,3.2,4.04,
,8,36,990,0.304,57,3.14,3.51,
,9,25,1046,0.372,38.7,5.66,2.15,
,10,59,1042,0.568,68.2,4.39,3.2,
,11,27,1204,0.323,47,3.32,4.62,
,12,21,896,0.424,52.7,5.86,6.33,
,13,5,1046,0.249,44.6,5.98,5.7,
,14,40,,0.447,28.5,2.5,6.96,
,15,36,1332,0.691,50.9,4.54,6.68,
,16,16,788,0.395,24.7,4.13,6.18,
,17,21,1388,0.318,43.2,8.26,4.45,
,18,46,550,0.52,75.4,4.99,5.38,
,19,57,612,0.917,43.5,7.64,6.91,
,20,28,1278,0.814,50,1.74,3,
,21,20,1564,0.272,56.5,7.01,8.71,
,22,54,1680,0.126,81.9,5.33,2.65,
,23,0,762,0.304,55.8,5.49,8.09,
,24,28,2046,0.701,35.3,2.46,6.94,
,25,164,1494,1.001,98.3,7.32,9.91,
,26,59,1852,0.919,71.8,9.33,7.32,
,27,42,1160,1.037,97.6,4.08,5.16,
,28,13,724,0.687,62.3,2.97,8.63,
,29,65,1758,0.442,87.3,5.56,4.4,
,30,50,648,0.362,68.9,4.24,8.34,
,31,37,856,0.618,87.5,6.27,7.8,
,32,14,320,0.893,46.4,8.13,5.11,
,33,13,1466,0.336,60.8,5.4,7.87,
,34,54,798,0.367,60.6,6.69,5.6,
,35,65,906,0.368,63.1,2.58,6.39,
,36,9,1084,0.261,76.8,7.05,3.07,
,37,13,496,0.622,45,7.26,5.28,
,38,1,,0.626,72.2,5,4.33,
,39,8,540,0.781,42.4,3.1,3.84,
,40,21,900,0.697,46.5,2.16,4.88,
,41,54,588,0.374,15.9,1.82,2.75,
,42,29,518,0.265,52.9,3.22,5.33,
,43,12,914,0.374,52.4,2.38,3.54,
,44,41,598,0.369,52.5,2.9,3.72,
,45,21,1012,0.22,29.5,2.44,2.79,
,46,11,628,0.156,26.3,4.28,2.49,
,47,28,634,0.24,33.6,3.84,3.5,
,48,27,880,0.324,30.3,4.08,2.33,
,49,35,512,0.416,25.3,3.34,1.58,
,50,9,486,0.372,30.4,1.67,3.11,
,51,43,322,0.197,34.9,2.35,1.91,
,52,63,240,0.183,16.4,3.25,2.53,
2013,1,38,418,0.181,36,2.06,3.82,
,2,55,390,0.333,44.5,1.83,3.52,
,3,11,408,0.256,29.6,4.47,3.15,
,4,19,914,0.155,13.3,1.57,4.03,
,5,0,546,0.448,28.2,2.17,3.95,424
,6,23,596,0.454,41,5.44,5.38,463
,7,46,654,0.377,42.7,1.67,3.04,236
,8,18,804,0.479,14.6,4.24,2.12,580
,9,4,588,0.314,33.6,4.22,2.12,521
,10,65,420,0.465,25.5,2.77,4.26,
,11,4,1156,0.463,42.1,3.16,5.04,
,12,49,878,0.446,32.9,4.33,2.27,
,13,,,,,,,
,14,,,,,,,
,15,,,,,,,
,16,,,,,,,
,17,,,,,,,
,18,,,,,,,
,19,,,,,,,
,20,,,,,,,
,21,,,,,,,
,22,,,,,,,
,23,,,,,,,
,24,,,,,,,
,25,,,,,,,
,26,62,1728,0.2,91.7,4.71,5.88,
,27,40,946,0.517,60.4,1.29,8.98,
,28,33,542,0.322,63.5,4.42,4.93,
,29,60,1162,0.613,79,4.67,5.42,
,30,57,1226,0.808,95,6.06,4.58,
,31,56,1292,0.25,61.9,5.27,3.72,
,32,57,1090,0.628,58.5,4.58,7.57,
,33,59,1014,,57.5,3.48,2.11,405
,34,51,720,0.653,43.7,4.78,5.22,507
,35,7,370,0.7,88.3,8.6,4.6,644
,36,33,854,0.2,57.9,6.11,1.89,466
,37,63,784,0.45,33.9,5.11,5.72,275
,38,29,1322,0.614,42.8,6.9,5.18,567
,39,9,608,0.639,64.5,6.4,3.51,
,40,18,714,0.212,34,2.87,5.05,
,41,55,588,0.47,22.8,4.05,4.58,
,42,57,638,0.362,22.7,1.95,,
,43,43,922,0.386,14.4,2.13,4.76,
,44,,466,0.509,31.1,2.12,2.88,
,45,31,1006,0.482,31.1,3.49,2.47,
,46,15,450,0.271,,,,
,47,31,468,0.159,36.6,3.12,3.19,
,48,30,388,0.291,26,3.33,3.27,
,49,40,680,0.351,34.3,3.97,3.84,
,50,8,640,0.43,37.6,3.16,4.03,
,51,65,522,0.257,28.4,4.05,2.94,
,52,54,376,0.275,36.6,1.33,1.86,
2014,1,15,366,0.14,14.7,2.64,1.36,
,2,60,556,0.258,28.8,1.2,3.3,
,3,11,514,0.158,45.8,3.79,2.34,
,4,20,474,0.272,45.1,2.98,3.08,
,5,23,766,0.443,33.2,3.14,2.25,
,6,30,324,0.227,35.9,3.11,2.98,
,7,20,1024,0.247,15.8,4.83,3.52,
,8,10,456,0.298,29.4,2.38,3.91,
,9,19,1078,,57.6,2.95,2.29,
,10,1,822,0.332,45.4,3.5,2.96,
,11,52,1060,0.454,27.9,3.76,4.71,
,12,0,1076,0.643,36.8,1.48,3.23,
,13,41,486,0.408,40.3,5.56,5.48,
,14,42,1162,0.339,20.3,5.85,5.12,
,15,61,1414,0.779,71.5,2.68,3.53,193
,16,37,768,0.748,75.4,7.29,5.29,450
,17,28,982,0.461,29.7,4.71,6.52,444
,18,7,1190,0.697,38.6,5.63,5.32,312
,19,14,776,0.766,49.9,5.27,3.7,
,20,18,1560,0.775,34.3,8.23,4.82,
,21,122,434,0.659,60.3,5.01,10.1,
,22,41,1606,,59.7,4.86,4.87,
,23,6,488,0.713,52.5,2.34,4.84,
,24,16,1584,0.429,106.5,8.52,3.73,
,25,39,1430,0.729,76.7,6.73,9.24,
,26,43,1082,0.685,67.3,7.71,9.82,
,27,32,486,0.348,49.4,6.77,4.12,
,28,11,1444,0.401,52.1,6.4,6,
,29,,,,,,,
,30,,,,,,,
,31,,,,,,,
,32,,,,,,,
,33,,,,,,,
,34,,,,,,,
,35,,,,,,,
,36,,,,,,,
,37,,,,,,,
,38,,,,,,,
,39,,,,,,,
,40,,,,,,,
,41,,,,,,,
,42,,,,,,,
,43,,,,,,,
,44,,,,,,,
,45,,,,,,,
,46,,,,,,,
,47,,,,,,,
,48,,,,,,,
,49,,,,,,,
,50,,,,,,,
,51,,,,,,,
,52,,,,,,,
